Seq,Group,Type,SKU,2021 MAPP,2021 List
114,FBH,CTCG,7083B2X,$314.80 ,$393.50 
115,FBH,CTCG,7083BL,$314.00 ,$392.50 
116,FBH,CTCG,7083BM,$314.00 ,$392.50 
117,FBH,CTCG,7083BXL,$314.00 ,$392.50 
118,FBH,FLSH,7047,$283.20 ,$354.00 
119,FBH,FLSH,7051,$132.80 ,$166.00 
120,FBH,FLSH,7047XL,$286.80 ,$358.50 
121,FBH,FTB,7007,$30.40 ,$38.00 
122,FBH,FTB,7007XL,$31.20 ,$39.00 
123,FBH,IRON,8141SM,$153.60 ,$192.00 
124,FBH,IRON,8141LXL,$153.60 ,$192.00 
125,FBH,IRON,8143SM,$152.00 ,$190.00 
126,FBH,IRON,8143LXL,$152.00 ,$190.00 
127,FBH,JMNA,7021B,$164.80 ,$206.00 
128,FBH,JMNA,7021BQC,$176.40 ,$220.50 
129,FBH,JMNA,7021BQCXL,$176.40 ,$220.50 
130,FBH,JMNA,7021BXL,$164.80 ,$206.00 
131,FBH,JMNA,7035B2X,$223.20 ,$279.00 
132,FBH,JMNA,7035BL,$222.40 ,$278.00 
133,FBH,JMNA,7035BM,$222.40 ,$278.00 
134,FBH,JMNA,7035BXL,$222.40 ,$278.00 
135,FBH,JOUR,7021,$109.20 ,$136.50 
136,FBH,JOUR,7023,$118.40 ,$148.00 
137,FBH,JOUR,7021QC,$121.60 ,$152.00 
138,FBH,JOUR,7021QCXL,$121.60 ,$152.00 
139,FBH,JOUR,7021XL,$109.20 ,$136.50 
140,FBH,JOUR,7023XL,$118.40 ,$148.00 
141,FBH,JOUR,7035L,$160.00 ,$200.00 
142,FBH,JOUR,7035M,$160.00 ,$200.00 
143,FBH,JOUR,7035XL,$160.00 ,$200.00 
144,FBH,JOUR,7035XXL,$160.80 ,$201.00 
145,FBH,Misc,7037,$279.60 ,$349.50 
146,FBH,Misc,7039,$284.80 ,$356.00 
147,FBH,Misc,7018LXL,$157.60 ,$197.00 
148,FBH,TMNP,7008BLX,$69.60 ,$87.00 
149,FBH,TMNP,7008BSM,$69.60 ,$87.00 
150,FBH,TMNP,7009BSM,$72.80 ,$91.00 
151,FBH,TMNP,7009BLX,$72.80 ,$91.00 
152,FBH,TMNP,7009B2X,$73.60 ,$92.00 
153,FBH,TMNP,7010BSM,$79.20 ,$99.00 
154,FBH,TMNP,7010BLX,$79.20 ,$99.00 
155,FBH,TMNP,7010B2X,$80.00 ,$100.00 
156,FBH,TMNP,7078B2X,$96.40 ,$120.50 
157,FBH,TMNP,7078BLX,$95.60 ,$119.50 
158,FBH,TMNP,7078BSM,$95.60 ,$119.50 
159,FBH,TMNP,7079BLX,$91.60 ,$114.50 
160,FBH,TMNP,7079BSM,$91.60 ,$114.50 
161,FBH,TWRC,7084L,$392.80 ,$491.00 
162,FBH,TWRC,7084M,$392.80 ,$491.00 
163,FBH,TWRC,7084S,$392.80 ,$491.00 
164,FBH,TWRC,7084XL,$392.80 ,$491.00 
165,HLL,4-Man,772030,$657.20 ,$821.50 
166,HLL,4-Man,772060,$733.20 ,$916.50 
167,HLL,4-Man,772100,$824.80 ,"$1,031.00 "
168,HLL,Kern,77302K,$484.00 ,$605.00 
169,HLL,Kern,77602K,$507.60 ,$634.50 
170,HLL,PSR,770001,$628.80 ,$786.00 
171,HLL,PSR,770006,$562.00 ,$702.50 
172,KIT,Bag,9000FW,$86.00 ,$107.50 
173,KIT,Bag,9001HS,$80.80 ,$101.00 
174,KIT,Bag,9005PS,$78.40 ,$98.00 
175,KIT,Bag,9010CP,$72.00 ,$90.00 
176,KIT,Bucket,9500Z,$70.40 ,$88.00 
177,KIT,Bucket,9504Z,$65.60 ,$82.00 
178,KIT,Bucket,9505Z,$72.80 ,$91.00 
179,KIT,CMBO,70158259,$73.60 ,$92.00 
180,KIT,Roof,8592A,$134.00 ,$167.50 
181,KIT,Roof,8593A,$136.40 ,$170.50 
182,KIT,Roof,8595A,$147.20 ,$184.00 
183,KIT,Roof,8595RA,$155.20 ,$194.00 
